tshirt,positive_pant,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9
185922548,195733653,207728674,171070828,9622513,130870206,98787778,78269994,214230909,173618006,123666926
61777200,38056729,204229272,169560532,90637604,137344638,66987246,70546577,207400225,170232954,127627035
180220791,171900146,210571980,176650500,97068569,146638255,99101643,68261297,214128655,177509839,133691284
163346873,218092325,213372534,185580617,96359015,145055992,99596777,73706611,214119542,188706188,131183014
142594030,170470963,20117545,167361367,88655061,134224625,91547898,62635857,201892672,168462993,11677183
86683190,102303601,196050587,162217385,84302807,136271685,47873120,57531681,197603446,165510489,127664122
146186796,135941529,209579513,171900146,89963350,128475973,69021968,69716771,217324566,179201008,116919877
60745931,138019517,189588712,152047670,92708996,126797711,97712557,49607591,191530360,155458516,114883223
156384835,163709650,207205611,164683144,87844132,135616976,94825499,65016438,21060681,165789109,120461943
109987273,821709,197198473,162009375,9348502,130295542,98650634,65198854,207135435,164363082,117579200
178192802,193552583,208795491,176739057,91297970,133108514,97906652,64902435,210612668,17958667,120663539
126701341,117563434,209502939,177417391,92888149,134315667,52199892,55592767,213405909,178380500,1193920
93979528,54276281,197276239,166602358,90228610,136411993,56992081,5990830,201058822,169128736,126211302
159898085,151521001,203686130,163243237,91763140,137630546,73475267,76710745,208022818,169916764,118359051
94286879,112059642,193100014,157055475,88984160,128223189,92664228,67347843,195237123,159739087,116435981
125582100,132752295,209157647,175144658,86862685,128042062,64301266,68508749,211995299,177509839,111989183
120653296,107541246,55266805,51738762,42768967,92245591,156841305,53287337,213405909,173079783,104787834
102214247,101957803,202701453,180755947,92742955,140759924,59308546,60315461,205153923,185841519,119859320
200041557,190310684,204260530,178276889,91230858,14548405,64021362,70160548,207573606,180562511,131152749
184996154,182696667,210395155,132779685,214425443,216964241,100154431,139409027,156211436,160021260,114747027
214537553,210519453,209238609,139011561,25285677,28924028,100857351,143863921,159240597,162032451,113936794
182468476,189593392,195994324,158618426,89147527,125097390,90228746,70546577,204217959,159395113,113271579
199390719,197680571,205263871,166137014,91135989,138631241,74729981,77476317,209842292,173534704,118431735
185384241,169206059,201480472,173679673,96317583,136758425,79532847,82972488,209430520,173720619,123267673
176152691,108245952,208286057,174352147,94250242,138000089,97869728,68519560,209564308,179600684,119854266
121867246,129912810,207135843,171748808,88984160,142624946,61216458,67112258,211487507,174625516,134002222
120983784,127104241,191213801,163752232,80177151,134932304,91427620,32290926,199069262,165643136,116300432
205463712,211516330,204948597,169366629,88867330,134224625,94813495,69420907,207097697,170547664,118603876
197798343,182440435,203126682,169877412,92333024,127688916,98703365,69549531,204259745,172074437,118179028
165266604,166291099,195515381,166137014,92333123,139881615,98577144,60011916,195705777,169266178,118173377
79572936,77227017,203964891,170597663,92708935,139462961,97714910,69968592,206199698,174334019,123107587
217564990,213881690,69897012,64577667,56938207,96012975,161135876,68523260,220335314,183259219,101254917
37496887,106881439,199559216,174535068,93446284,139811892,98339686,78358999,208927645,179251744,1231631
184766673,158103282,205037788,165722618,95394213,127041723,66465799,81031598,207551492,172642026,109648776
171663984,161815135,209076611,166291099,94286682,137701445,75492051,77659420,209418234,167520626,125859584
147987244,142304783,200414938,162423611,89542632,130277316,91596946,60425727,200802060,167780842,119389026
116820753,109599114,209842292,16787337,91332393,141261200,67275348,74661923,213274190,169963955,128244153
217924389,218158813,191529050,159240597,93557213,128887108,9746137,64223736,195611982,160177717,113744255
204827170,201982069,207604151,170484760,97634316,143526844,67671820,68724296,209447485,173585803,120603047
202257949,194574338,208286610,169954734,88979937,144042724,91297903,61352555,208635880,172722508,129628793
73155667,58027313,183807262,152015085,210539530,56373179,100585036,157177685,180890583,45901808,129574936
213512080,134768151,203910204,172328980,92122141,142992919,64900003,70448327,204142270,172594932,125277947
118777804,110635155,80168082,76216326,64259890,98843487,169968472,79694674,60971575,186023221,100918177
120204559,120643136,200579078,174906360,9365208,143143574,98177538,48107898,201540245,176892173,131140950
119145365,118446534,193535970,159578148,82552098,143526809,31408428,42121315,194706701,161388533,129439417
196266053,201831704,194027210,164528126,86183381,135765229,91790926,57531681,198336426,169638921,115809124
190299912,10117163,195560497,164627156,92647485,133150375,70056830,70616152,196278259,165081860,115900956
108966046,105386906,208123251,177045656,94733193,141610052,73039303,74739722,211621421,179659344,124461011
180229220,171369741,198231285,162325311,94623158,126862842,95305864,67767577,202776254,164794433,110130142
98723495,99527158,208562117,164444641,92859867,139531142,97922019,71287082,209169220,16776112,115455079
216921632,213620109,205064317,171177845,98556835,143141503,99863043,82021637,206189535,173675755,118730859
106844760,104657746,70861211,61926267,49118895,98280645,170222893,64536977,46379661,178819838,101155085
204388175,202215899,204721692,169265738,88459147,144136330,7115914,75128208,210644947,177866685,118481924
107184942,127032178,203389818,173678754,88907327,146899766,46141823,48008697,203418570,176776187,124305228
127600353,133718651,206571217,162368664,89360650,124605419,95842950,71008107,208169774,172480759,116413065
180612594,150463886,203759794,169159820,92069100,136095063,61063073,66717905,207180177,176712063,124512373
75772488,114431567,205814389,161457933,937745,131561093,81149564,84649210,216480865,161654569,118117425
212069794,205466633,208603248,172119764,94811047,134934219,64577667,73121465,209979291,175601551,112434673
184194929,186746453,210336059,173478988,95743234,132756494,70921736,78075055,213429350,175889988,125091204
213023440,201611957,209758198,165140525,90158698,136379262,75612266,78091082,214516194,165695303,121786060
154219177,165590674,194031946,151367623,87868917,121851612,42876412,50372058,197706207,154004329,112032946
142104618,215324476,27593362,178053534,92310593,135774600,96454194,71913271,33724395,180182823,121505742
