tshirt,positive_pant
116067447,125127242
130056190,118189428
70035185,66944583
45691229,93410653
167497581,16667704
125338675,192953156
158796365,159652568
50000022,52475767
5584342,176835409
50690430,97514158
193951542,202133198
137642725,213039115
104595643,136640367
150567274,152613619
172774775,173797224
183194276,208382837
193454044,203378013
215557068,216085843
168896555,164322952
187541332,183804113
56940698,52650920
186870474,180528110
129850571,218652934
165006544,177417385
34518221,13623666
182585723,183283550
159187997,87736225
179222261,196910081
115808504,117783828
205119683,207123955
179857403,176100072
145421991,137627644
113586520,113733260
129603751,133108529
106414552,103922551
42357059,16150941
111529826,117136730
259651,46213687
188414714,197245563
99121834,132796084
99301366,98002086
79629019,85170759
122185473,136130831
75700771,71880558
93406650,148801595
165762175,135158918
177841403,145522677
155642883,148482739
205550388,204259077
152123098,150628046
132142458,146410377
104176761,103732996
65389810,79918193
99931031,73456599
143380889,127714759
187379322,182327689
111348426,110351963
147913816,196452206
89358120,64480665
132904684,192402356
110125079,119236326
166424287,169734605
138900912,134205499
170915431,115683391
140286257,111117361
185322112,179660718
110281367,68593041
202325005,201894015
128178651,154790216
131325644,159530942
57092776,80659154
116926603,114408748
63379422,115201114
184706008,182418281
101557285,100715556
63568004,108705723
139607169,46213687
211658777,197891270
83857812,57116812
106159801,93408570
215458949,214699779
144674498,149128878
208010864,209214927
118439866,117488893
116919069,122532053
111989218,143692499
122250645,149469760
148634804,151548329
180761107,183728262
69710032,70186088
185873379,187797662
144997550,149754710
145643139,124862107
155337842,163559284
171663971,171696092
196227007,199726030
166293940,165308437
73460508,76661481
161922186,159449744
111215976,112857059
148986687,154930248
64223068,64767177
37262101,51715525
36139808,25915530
102335669,102022447
211647912,209214927
206219322,195590627
133875532,136805906
27678512,41941979
105632005,108388037
170070566,154732437
206006979,211259367
189761541,203814593
160915161,171138181
159111852,148910854
118282736,129626873
202482927,138207234
90679907,99616074
171255261,205101226
140815606,139836097
33398493,28802084
188891786,183517229
120654396,122693039
72435061,79343396
50574870,66578430
164871413,154756928
61948600,52863696
124442102,120604692
120688887,56660516
159268993,161519632
173746242,133848655
53904738,60333195
79017032,89907225
178879047,128040563
197934115,192392023
207309850,209856035
198794454,197455920
147318259,183639308
169724682,177406453
205235693,205058097
153945907,140684089
140834943,137328477
157766113,203037161
115841158,116762930
125582100,116787761
83264125,89448847
140514147,125702279
80723903,97111963
135777158,163508506
148549413,129032116
175383613,176110934
181647985,191643089
163606916,179456325
193318701,48840421
207733094,206753694
127442956,121598499
132512634,9559794
143601804,111741511
194047309,179663606
12127217,83001627
171824737,123108684
55255499,46240920
199381242,197920093
60525959,88777945
139434746,142138437
124664771,129522721
112003459,152694096
170997360,161516875
147604428,86183381
92904424,40759198
149104661,192934726
125246066,117851219
158779472,134305688
192386959,195248181
195878589,165596164
214374799,213429574
49110751,49429834
50458253,49349267
104309050,108116239
213868080,213454710
165161512,149175908
174048777,174467589
195568976,177938582
92298632,97558925
204920795,219428095
73818537,121283637
70435133,70160494
190884135,189639764
107312686,103708902
107371551,104663318
139183223,139778651
180388901,167449471
139649931,131997023
211647912,211656835
101153451,115139058
172480330,172482306
195069070,214347454
79448386,79536679
100679541,98703365
119825702,131980009
59452364,57946193
211552213,213876042
103066967,113716525
117215526,118552766
106635725,133327131
43605414,79583400
147361905,148098945
215636249,191479234
30787382,10454997
147466546,143156698
152615498,152694096
116646439,129792963
134751452,148426871
205795813,204207485
169111647,107346374
102588292,101702950
139935207,139269134
208673471,172419593
164694595,68659817
158883599,160547133
63313326,59551857
162354715,170618257
154320713,88785582
173555368,174467589
190555473,190875340
145756524,192719850
149469774,163340600
178374890,156693277
146542630,79573070
186631345,191700006
3198861,46240920
128075436,131927930
160815751,161473744
99301366,2221837
190334495,177084959
92638155,89759064
217845471,172481092
200785087,194326867
130215137,177184787
147854322,150210535
97253817,97210964
185180840,173492779
61057295,138387246
156364914,155273185
200250497,173619952
102602380,113259032
53673005,52880513
209715313,207699340
201915757,143421764
203678784,203965058
193550354,195286830
123053547,165141827
202109609,7109032
154005224,175601551
115173303,107453648
151181943,154528335
67231500,61489706
202598952,194498680
205731062,209558597
158657227,53499082
154086168,146038212
68679446,69731493
209947559,92579171
165086252,128040563
135083763,92232355
173863397,194409308
176319760,182857503
164934917,155871514
140787995,132041843
201753250,169870788
67751774,66268889
104393412,92333460
77032049,74167606
150919517,142599314
106805498,101985671
80811431,7851238
201915545,200075176
152507454,169225763
159831735,170409766
158759008,154111486
168860708,168861423
78091766,74177664
185182633,189781765
117491868,114749629
190734454,187528621
89029261,14174397
24156293,83274378
158439489,155323093
130442198,136805906
160577783,163908206
156980972,151507227
219353190,216894906
98061890,115809124
65086015,67027584
170455384,55799149
120223718,90674028
64409426,65435921
180612594,206532131
95055095,140135047
108086461,108322318
100877175,87623820
199899686,213902038
66195971,56860538
159934159,161220425
96470948,94131751
146156960,171702110
61260502,53209899
200237835,204771785
172519599,129638429
84543594,67380122
104362743,104386016
44768535,58884473
96691874,114055971
201868444,140957482
117574676,114258526
136469439,112685182
196425447,175832406
206286823,212090459
198493601,202623837
168717418,196054590
163022621,155565491
133217288,131523153
93410795,146826834
164620248,161519013
159447273,162785180
67348460,62977451
171794182,174723281
143711606,140742447
152297156,180727722
145115299,144079092
125075831,117996043
174062694,141253325
169112711,107346374
12521429,100097599
78068561,77564909
145731959,147846342
131560922,132459396
104596329,196599149
110987419,108043514
194171359,184097498
179812034,68475172
171550135,180179802
93371397,94708706
191551277,210232487
161319333,196880714
168445550,165661979
121754840,139611459
210058352,202126507
145631776,144326269
129524367,148366520
176957763,36451708
149111508,158612480
109138836,105855368
107793048,164322952
79233939,79694954
194947334,188903955
158345728,154960861
134498712,155051426
157370523,201897524
136684622,161189426
188145294,204935729
41319794,136019178
176450365,195661942
83511096,79385129
178836243,195895992
152715630,105459290
104391025,105715394
137384419,175040061
179485639,184634507
180262031,118174808
135691352,107665929
187621829,200432470
209897817,173625418
187597855,174669185
77884361,78400358
146805331,54086919
100883681,105855368
167191748,165670704
200750356,160613846
174459307,184495893
143779805,150422783
74612648,81977839
55720602,93603486
96495210,100424521
140216287,164214518
192374464,179090051
127403908,157259273
150554261,154031128
180389969,114372721
67604725,58290183
178670396,174467589
90418929,188317869
198751795,195984406
169463633,163559284
155757769,49487127
174192571,215375341
178850359,179043963
191308418,194028851
146151067,158235244
68266253,73024465
197113148,193464105
112587772,165661979
170548632,182440435
192938802,191291338
126585515,132284046
9301547,11114215
139426898,123004067
206303535,191498933
214849734,219707697
160180794,159479033
147594996,169734605
121862883,118942183
65533509,60312129
104950844,126486223
77845269,78142501
195817061,192658352
51210046,69881843
185461173,181298080
91549101,59545005
116812093,119064077
97802822,154718285
153478450,164283448
178387649,206383105
106673761,84797656
44468989,27902304
67275397,53940707
94407656,100231133
164923529,167102644
64495295,57946193
106303934,135531951
212080284,208629524
148682588,150726380
193227297,209865263
180363186,181595945
150013399,145974761
83766694,80502762
219311790,216589946
207545718,204207485
85912777,93389945
182198751,164839609
151043581,12852143
163606916,191564594
205233274,202978411
178142156,131082449
74123188,157030371
81376256,85429664
204565421,27520952
98264304,115474085
164729095,128381283
213083766,206904294
75840488,38027354
179876202,180727722
147913483,153377493
93917112,86784722
108521574,118552231
120404159,117878302
187589052,192405348
117101514,126464733
75340564,75389646
67964205,66162508
161516835,168095048
144529622,96286223
96196716,79991456
185662370,182327689
201987330,200196932
191006433,173797224
209110591,201150439
177183903,177123896
95334106,16976581
156349309,143847837
154320713,163532557
99595063,87965179
130961171,131561093
158212160,148453076
179206356,181166025
31156671,33118231
99594720,93411656
82978828,97712557
183808806,181597338
129448307,128141661
94482367,58353145
88111103,88460599
172511609,201020544
51226615,122397715
162652339,195570424
118681859,118862360
34646631,38002791
78383058,59194798
165655452,141915368
60806097,61489706
194535701,199618470
140070072,821709
183032557,124611013
146191145,153404817
88974470,42554390
88079245,102552085
143058717,127189337
145583678,129066771
136785023,136476913
43578344,101044264
177631720,170752380
71769817,72451288
117144847,139963813
187146240,215204714
93458091,92888149
44081350,22953282
118196245,56138406
129706441,149624572
191849996,183963132
145420361,155860250
111927204,112033323
151372997,148310515
133166509,134599721
173118698,174021116
192908557,194081815
50696098,31157330
76883356,78006687
128941201,105715394
206400150,208431836
186560109,181036937
195571453,192916043
101862084,98078855
195668798,216207542
118203635,159479033
214863770,142233961
148030706,149211897
68798967,67119154
94789231,96432307
105834582,100749216
109897908,113733044
129494709,216609693
213732809,205068899
165227107,202591946
110101796,113108126
129273449,129429162
148264841,89765040
55771948,102673991
199893401,200545098
108961208,106733652
204291077,79009908
152096579,97558925
206737523,195793257
45302282,42720106
172420303,178690714
102947876,95132050
183017169,181907435
139900595,130454651
167976317,151578411
149600454,116871512
153365082,145707619
205654427,211399059
120343934,120257954
119526193,96086948
156036210,174374503
179524052,203164992
180709285,183652611
119307921,117223074
147706108,154515870
37996313,55006102
69306496,30059467
54016130,18039770
128079994,133228951
69355911,122481106
153951748,215999658
141837298,125903322
142719153,155994113
82599065,67135198
212090036,205251956
110242555,110707242
134892758,134947966
159276751,168390444
216618619,212156354
115442281,18952767
139504827,134846217
55216962,56868589
135571675,133691284
83766694,84797656
217683607,204207485
107958609,138387246
61779260,52914379
160139483,215862537
64109371,112105648
195173201,194421658
140981383,146413151
149989181,183821990
135697649,151495930
51962987,72918345
165243954,143083653
167581614,161435094
207400643,183635575
134052708,120904016
184388930,183686455
164158297,73160756
206735856,188013129
203684315,198861600
129072051,118423881
112033031,109406482
115750948,150894162
209092995,206780505
46542514,75630478
131560922,129450469
126907150,126987017
55254807,28798804
197271206,196880714
46142806,46408320
52366600,43226571
185906447,183639308
173041294,173702879
145922547,156129675
167076707,169823188
90308610,77386941
135683036,202210381
216776968,214771453
165227107,183612626
148213717,151539200
73832325,87957348
68679446,74144360
126511477,141316152
153951748,148450095
120478314,114731920
145201440,137431296
103350035,73226959
21029098,14310590
194258054,197499565
196137207,200480594
169946031,171340977
191291917,196794847
193049355,195936544
159834802,157620025
183326088,194551171
187435422,191319720
90469014,93054972
130548863,102283632
110169839,108214631
181267702,149636852
95848005,94860692
18137536,30480626
138023651,136805906
169053501,172701291
129879974,133181861
120654332,120603601
91271075,118432584
90397044,90622742
72350111,70561513
148919850,149243346
188331354,180930226
162063118,169722129
99121834,109406482
48802400,58546249
177730490,183947262
147322908,152317327
139427138,176578546
167196423,162927309
82666061,142266667
188146540,191376507
138163936,145085334
132871240,158612480
74689315,73354576
71546002,2221837
215585325,209909860
160605615,151012774
181340745,163908206
10355473,6640387
148030706,146442606
179070750,193558467
209804867,217294904
104040469,116864217
62027271,61264589
162256823,155646546
188024675,190829535
144801285,149765736
40320685,79856587
161963387,167966885
121647974,73160756
103868054,105075684
83170155,84260177
118255334,116798789
182875311,172544698
202157732,214174036
168687687,106282085
61344469,72315205
132009756,132811380
70360455,88035931
185056407,168541268
141837298,142385883
94196612,106440605
216190306,217843772
125846552,132744491
193885896,191819378
163204948,166639095
144167220,170800986
191755971,205701430
144347877,145707619
216169551,216056112
124561924,153105852
158796365,160424406
59129052,52263460
178582987,187311693
97551261,102992104
119047912,119188254
149505200,126810323
204528411,100482963
159858041,160608991
66634255,66972556
71236497,96954859
97318298,97684437
169249779,178476502
116840216,94492977
92892718,67671496
179768698,199940691
130287903,108274923
86998379,88500511
121628942,159169248
195568979,198506103
174321143,160715125
52170719,60736575
187102708,188188021
191889977,192088366
111122936,115094858
145353255,98311241
117677267,48992727
195470569,180589194
109174826,108705723
92211777,86736776
55255499,93351102
140469031,146885075
204810384,203501692
63946164,32573724
194947334,28530479
178294643,179534593
160914882,175138927
172369922,197190526
182849271,193615276
129596865,138561989
205679562,154718374
134702509,132284046
200133897,183385172
122728067,131275939
135777158,163591851
119902513,29166477
143888408,149211897
158861044,172373814
154306185,155396594
12979950,86969075
97307888,99977274
112425197,104905545
78788563,96954859
142913421,132731529
215455391,217190267
149200781,150729905
129524367,147341849
193622106,199267985
105456303,104169857
211383279,211275831
159013189,151492364
106191691,93326740
135777158,123865690
179091354,183725260
69786449,66944616
207309850,201162988
205474289,150894162
149487810,145707619
137241188,166290992
202240662,180167008
191321352,195933627
71097467,10710757
115530191,115857670
159608472,160036054
214601457,212328078
134438580,130885202
107793048,113426449
195460606,200801620
170867243,143358959
82877403,79950743
98758169,98165442
210204459,204919435
142502036,158172031
214212022,209579832
212239559,210245761
126777803,130442494
43163167,45285412
86221744,89972727
196137207,195684635
119047987,118862360
183977514,157630278
136622209,126751965
111138097,121559758
68383941,64668650
171824737,172947562
77593722,76959543
197381916,191635814
79456135,51400154
172510980,94948605
134496921,114654487
105064367,86639791
141342059,127476563
68253906,63740193
154856512,147846342
160430462,144236442
112354601,111775173
144733693,109815991
68210513,62193531
46946630,28873457
99680794,99812279
203999010,176713546
194260681,196721588
88635972,57654158
84239436,74837253
101155171,98311241
167418198,164860148
156457052,193743796
62140866,60292137
77930845,63216890
76395906,67492191
196455914,195286830
194818001,185005809
187589052,190530604
75379526,70592318
148869974,153246845
144876441,129522721
150863531,207037293
9395579,46778870
141149843,133357210
215413401,214063492
56780774,56557840
154195468,150459948
162820671,160177717
43945344,47703784
218197134,202140512
119755811,124978984
139935207,139219822
75751072,53802709
189073195,127379116
80957833,60088889
100821948,79856587
159562058,165327764
170552746,169965794
203215884,215747212
54873163,55216961
170486660,169591675
77581476,79918193
205022450,201535893
170694560,173763066
171221484,175410879
178046571,161189500
77170729,80669560
208479450,207898794
143606011,171480861
13655815,161849118
186265282,186591509
178041836,172482053
186492883,183282906
209106655,198891373
183173873,175731640
144214214,141507104
201539463,203717552
166324446,166184798
203684315,210153419
123053521,116421348
214251077,213191769
64109371,72981072
190950882,212370292
142502036,172373814
183653890,178145691
166245022,203952464
210206277,211191546
206197493,210331487
176712229,113502907
84294126,83839965
197434618,182195988
202541040,194510316
189638755,175023147
124120504,119903906
206025378,203501692
99089081,146608504
190338689,191819378
183855487,135802284
98673875,159794032
187409604,183639308
123132666,104663318
93359663,91986555
178374890,165686955
116851650,128452245
122732171,109697723
154001193,169917662
174144076,106664407
217394277,135695313
91819671,97746258
131909615,161734689
105543561,102925959
135819804,147198772
83399550,81724265
164324557,87576921
113425823,156042439
152853234,139257508
99514241,115279635
157477380,167762423
157909998,158093120
150407991,102145138
93881823,143145037
115148665,116828452
145227118,129810660
188202597,17340283
188111432,210563013
112003126,128860214
152279905,164791423
70769423,93410653
171410021,171702136
119434779,114124212
202109609,199723857
155686918,160424406
128482404,132026236
153181009,163173230
112474584,121851431
193123373,134489223
158983117,159887241
183284813,191564594
187392930,186587604
212593213,196054590
120653959,154790207
34547449,9559794
208404444,203393926
63563202,53509405
204143868,213243001
190795144,206563993
160815751,158664179
81726499,74480234
113651333,53728428
180392376,177406453
216222381,173624781
146475329,143526809
191731921,193392397
115039605,114785461
67255216,78090470
95817264,197225250
123252829,122260348
199516142,193558159
188278293,194137235
177785624,176820568
39195460,87965179
134922835,165621629
113425415,105126662
71949771,82813962
217367544,217180839
198549407,195933627
93464960,154487930
155341974,57813148
154619948,158583964
187755757,188751300
199974275,192987610
92655303,91299208
140508782,140533317
49707419,49040849
178810380,204951128
149541724,129846585
90783971,115221760
163437844,163631102
216662604,211020738
42796002,42547924
165031882,204376866
161278574,88281073
185064378,179523661
53673005,40501961
194947334,152605572
153440908,116103154
87131701,82090953
191896856,42358390
62990805,101139077
140993456,129525951
169941116,159777887
77170729,74617207
167256143,11834136
133217288,132821362
46320268,52149420
47942240,53499082
190537513,195515381
57911068,58360668
156850470,157073308
172854903,201269486
78987489,102348130
169884296,144413221
211092542,207485220
157426347,163947262
165712459,164335309
9599163,9144406
75586323,76690047
200250494,199006824
158018094,176847060
142608303,93557213
19052394,36451605
147831856,161591632
202168804,209194481
7252339,96693930
216032005,183725640
143938614,146349876
161774381,161677969
135604760,134451131
191637871,168179943
44571383,36421246
135055309,73373148
200252196,206922777
63834122,61063249
172521795,161896763
147017156,156900698
61318472,67275348
54873163,52475767
113433012,113032670
149751186,151870951
191899552,185063901
164436965,166690617
112963325,111263960
145759725,146311588
169144730,161650671
73558681,44328008
191156008,196158534
165266604,158080066
86319511,87576731
124981071,148616049
159534875,105459290
173555368,172701291
146708776,145877602
181611043,182820998
209892140,169992401
183352254,90165030
157443377,121660496
84798112,83240895
116338229,120194026
194035769,111416280
215667560,208162118
38880578,177410590
169292702,195929241
50464666,127458024
200464328,197367694
97773413,136100029
142969744,142501136
73789158,42874116
157252687,163529823
213621429,198104204
184112987,161135752
178052090,167343367
177859243,181083165
134757323,132674739
203084815,192970030
74845321,14977320
