tshirt,positive_pant,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6,neg_7,neg_8,neg_9
100971621,159096198,174467390,175608170,186154933,182931201,136274661,157932574,154521820,191533824,183738346
104722472,99958482,182029439,170509119,192649356,184669742,126069000,130868703,167431296,29434795,183030692
105402064,196600540,156262221,142002543,188245588,190887164,187786157,81691070,132731529,183029165,161127103
108386481,183190804,188655944,182203647,136466085,190566403,196008741,180929253,187752465,189072056,191773637
108454264,127563177,196438772,175896036,161073966,160826897,176675460,186450593,124967796,53207204,163876074
109549289,169916764,175822598,185350238,157068351,169225763,174009007,113180358,102283678,188807953,190913403
110465328,186532523,129522072,195966031,143680259,189489803,69550205,179591670,117965073,154981855,85212447
112265128,125443982,192994125,165672180,171877599,164627156,193543332,164528126,185056324,188317816,145080587
112425403,178597480,162232376,145597531,180378487,188788509,84782193,196197525,171710233,145640126,142607290
112606551,60292175,149643670,170883326,181245704,111122714,191386327,199026984,162545927,172935705,188941907
113418109,172023951,111530446,174144503,585643,199775990,188842466,184156005,183412151,197052187,151389197
113629352,165641610,168819902,177926067,130536138,183653238,157770671,76165877,176713978,92059248,142860102
113852299,196352343,184511538,199365295,160966518,101676947,133130054,134701904,176302620,192337066,194081815
114097291,32573724,165308099,183050690,94805593,142986546,180796086,175601367,168113511,193426792,106631145
114709705,140384999,163391496,35329981,183957214,183318867,178824714,155036025,192216473,193098409,115009065
114820434,147323514,146159127,180086653,181346375,141480213,176300116,197824749,195893071,174669059,141812086
115542305,180966388,189930814,190711051,189293661,187177694,182255837,193765798,133516503,196092758,149636868
116467967,123604464,195618014,171908002,181240639,195745730,194749333,147407306,148373100,151563255,160574262
116884393,73125573,159933896,189576014,199575659,123068636,183942026,194878884,186812077,154758829,176892173
119915300,130442597,141237291,189245001,166120946,172544698,191896633,103742101,195745730,187128312,191540042
120039380,141260291,104545305,172947684,145800831,178138175,189765536,156574458,144430305,143358959,132127836
120596616,191809814,185049101,188807953,116518433,170560509,182768064,169352091,140497301,181131950,195652283
121525168,88110432,177422874,181212069,200492497,146665540,185083512,144090846,172913403,186735608,99231240
121559112,163138254,93307046,157091466,160135055,145055992,199933435,193594393,162506261,134982997,138733391
123384235,183407129,183707022,6262122,191295304,147096823,147837854,158081629,183638884,157991514,126961412
125033580,64431368,192936903,150231213,181069398,130004175,182422658,147711510,159187122,187895855,157086984
125494917,142385824,198111607,192675383,181356629,189616701,191356692,60391027,191631045,182471598,92820737
125930818,195621107,51118377,187444644,172935705,133130054,178873761,183839339,194735779,98311241,184617204
126443561,119281562,192633134,200442052,191554072,187340337,133326160,176834604,150900637,109218057,180233315
129325882,154643675,153680223,49040999,175966950,172435264,184982639,196262732,180095025,38491870,32174667
130300628,129525951,140310655,189638619,181611281,145798002,136401994,192516455,165005820,146840284,177967156
130300887,119810121,165781752,195487817,196370855,194829921,163167198,117175328,171247730,197163796,194621743
131587822,174187014,174816216,184514379,155860250,193059683,165221082,163506458,73431541,117488893,150244990
132556625,133693969,195544967,194791452,187954711,178862186,182227833,182239545,150958290,174619857,115840331
133126503,181131950,183041339,128451259,181295820,182711079,128823869,53490152,144873830,180513434,175184055
133203786,167205364,196452206,168978743,158476159,186772935,94986288,199569517,191899202,190236512,193563138
134492747,139823681,168546385,194820053,161018655,169796739,175348156,87511023,176115198,174115922,159885356
134998053,158864597,181068856,183269282,194345734,187264223,188823725,183999693,176824771,171070618,142953521
135211239,112060947,148258269,195564996,183029165,146136619,170134284,200597007,189383358,186586554,183527908
136160165,175349384,193080917,168939642,188069798,189549672,191809814,168020853,183369275,158453692,146024247
136684622,141237291,180086653,189960254,169605409,176575831,135669832,118843308,183331566,183803843,176969181
138150493,169882774,154960861,180000256,135889137,155152584,188999356,179026492,173703894,200288208,124485122
138836783,157761719,187938363,192002827,162828887,187252814,169985940,186767664,149497460,190157404,193517596
139153112,141804752,160924417,99040398,111528123,182654367,179007603,180758805,162245797,197928454,168706594
139526857,60474016,184210056,174495400,161383322,40222238,196910081,73038530,182863863,194080299,173331764
139636790,134703985,155821473,178830262,145718477,188847520,146335621,188260494,183871654,163027729,150775769
139846938,84782193,164283448,198266376,185321877,165737133,160132453,194790994,159431748,179899801,165893589
140195833,154924608,59470112,172528218,197902376,191865821,187211534,155393821,160427468,63311594,70857817
140675068,141479280,189154029,189527798,128452245,158093120,183247474,178763112,194757446,195057771,133681142
140923902,185073232,191435188,190693317,188049263,167729456,180052013,66944930,51529642,191343100,87337582
141076832,141076740,167242475,151071316,188211984,194011366,147122488,185053713,188809037,190546116,184455017
142149482,128381066,140535369,161581922,179026596,191721044,174879969,188071291,191762902,141696330,178639372
142719153,181822613,184286001,167888092,86156042,196676247,195845655,167674995,180271688,146160318,182118766
142720237,138407644,194090199,181164474,169695973,182792444,166184781,100357058,135680955,110958683,194131937
143265192,146009645,147413935,198120973,195401702,171882049,157907830,197117492,190663131,164586374,170042961
143719522,140153585,189769736,195424846,163138254,196487907,175181605,182449546,191612277,141765687,183197636
144228153,167966899,184562129,167112539,173409141,156461425,197648535,142501136,177988637,183257237,195293406
144337309,102283632,183322340,194384946,199022045,184516555,32573724,163957900,180096142,174083624,200817661
144504681,149533335,189954140,29231103,186973193,189581978,178007233,192943811,36085214,195560520,149497460
144839995,141358408,174689921,198111607,166298360,159125944,160036054,170652600,179571510,182907458,167985987
145227118,145611607,193032787,154946107,94863878,188204114,200963901,132101008,194506385,181264280,163358470
145295069,189280384,181672631,191630970,147764346,195811168,127253990,154023127,187722491,184403634,159457088
145401110,179514960,175827953,174669185,200355201,143618052,173294268,147249690,189669800,52926928,129190277
145520965,140963877,173679789,190964743,188851966,191593222,184508362,192576758,145868624,146335621,89434317
146151037,183976867,148483142,188746628,164167022,175214184,179445814,173164382,152123416,199325674,193732226
146178726,142486059,185004474,160840573,184514180,173337374,192398763,191298480,136795222,135638520,63311611
146207034,100451909,148325099,164500144,195922163,171542167,160051009,122738267,146376882,184964914,197108955
146816889,137003417,179433302,178356328,193978522,163111084,125443982,102203355,193917753,184455017,142719854
147436851,142327189,190594961,166507678,162821044,124671687,189310672,186535015,185272105,193161790,199916901
147712667,142498406,194409308,200509216,191527399,179591670,33680928,177724488,131657024,187408602,174361933
147869705,163506458,140963877,165779715,186586989,162816134,143141682,191900621,100019428,186408744,192661494
148499656,2670691,187707111,165644558,201317534,176824715,165686955,192113137,196639993,183412151,192987610
148708512,89027333,194517983,166334342,181048718,186509984,143471547,180890583,163462215,139360422,151576576
149199016,171098511,193513471,197216670,127699337,159779117,196867635,138838985,179433302,164794887,179664268
149224042,149223947,120047066,136024249,160051071,123265930,185420854,193818318,182580307,172787078,181045269
149483157,149255059,143218272,172628055,192545676,154415686,168150142,144348117,146151050,188808972,169225763
149537936,195475647,156315667,105137774,179687347,45926618,127654318,179499852,167904377,157097970,188158543
149557414,147464177,120910573,197250789,103080672,190535374,144841971,148004484,157991514,184764851,91093288
150193737,146838171,193647621,167914056,155602068,127379202,78807565,159844027,177610483,124601204,133068986
150231126,199204311,187378724,188250207,163620612,162040459,155733385,180613342,197482905,187940792,196020941
